school,county,type
ARGYLE ELEMENTARY SCHOOL,CLAY,k12
ARK CHRISTIAN ACADEMY,ST. JOHNS,k12
ARLINGTON ELEMENTARY SCHOOL,DUVAL,k12
ARLINGTON HEIGHTS ELEMENTARY SCHOOL,DUVAL,k12
ARLINGTON MIDDLE SCHOOL,DUVAL,k12
ARMWOOD HIGH SCHOOL,HILLSBOROUGH,k12
ARNOLD HIGH SCHOOL,BAY,k12
ARROWHEAD NURSERY KINDERGARTEN,MIAMI-DADE,k12
ART INSTITUTE OF TAMPA-A BRANCH OF MIAMI INTERNATIONAL UNIVERSITY OF ART AND DESIGN,HILLSBOROUGH,university
ARTHUR AND POLLY MAYS CONSERVATORY OF THE ARTS,MIAMI-DADE,k12
ARTHUR I MEYER JEWISH ACADEMY,PALM BEACH,k12
ARTISTIC NAILS & BEAUTY ACADEMY,HILLSBOROUGH,university
ARTS THERE AFTER CHRISTIAN SCHOOL,OSCEOLA,k12
ARVIDA MIDDLE SCHOOL,MIAMI-DADE,k12
ASA COLLEGE,MIAMI-DADE,university
ASBURY CHRISTIAN SCHOOL,MIAMI-DADE,k12
ASCEND CAREER ACADEMY,BROWARD,k12
ASCENSION CATHOLIC SCHOOL,BREVARD,k12
ASHTON ELEMENTARY SCHOOL,SARASOTA,k12
ASSUMPTION CATHOLIC SCHOOL,DUVAL,k12
ASTATULA ELEMENTARY SCHOOL,LAKE,k12
ASTORIA PARK ELEMENTARY SCHOOL,LEON,k12
ASTRONAUT HIGH SCHOOL,BREVARD,k12
ATA CAREER EDUCATION - FLORIDA,HERNANDO,university
ATALA MONTESSORI SCHOOL,MIAMI-DADE,k12
ATHENIAN ACADEMY,PINELLAS,k12
ATHENIAN ACADEMY CHARTER SCHOOL,LEE,k12
ATHENIAN ACADEMY OF TECHNOLOGY AND THE ARTS,PASCO,k12
ATLANTIC BEACH ELEMENTARY SCHOOL,DUVAL,k12
ATLANTIC CHRISTIAN ACADEMY OF THE PALM BEACH,PALM BEACH,k12
ATLANTIC COAST HIGH SCHOOL,DUVAL,k12
ATLANTIC HIGH ADULT EDUCATION CENTER,PALM BEACH,k12
ATLANTIC HIGH SCHOOL,PALM BEACH,k12
ATLANTIC HIGH SCHOOL,VOLUSIA,k12
ATLANTIC MONTESSORI CHARTER SCHOOL,BROWARD,k12
ATLANTIC TECHNICAL COLLEGE,BROWARD,university
ATLANTIC WEST ELEMENTARY SCHOOL,BROWARD,k12
ATLANTIS ACADEMY,BROWARD,k12
ATLANTIS ACADEMY,PALM BEACH,k12
ATLANTIS ACADEMY,MIAMI-DADE,k12
ATLANTIS ELEMENTARY SCHOOL,BREVARD,k12
ATLANTIS UNIVERSITY,MIAMI-DADE,university
ATTUCKS MIDDLE SCHOOL,BROWARD,k12
ATWATER ELEMENTARY SCHOOL,SARASOTA,k12
AUBURNDALE CENTRAL ELEMENTARY SCHOOL,POLK,k12
AUBURNDALE ELEMENTARY SCHOOL,MIAMI-DADE,k12
AUBURNDALE SENIOR HIGH SCHOOL,POLK,k12
AUCILLA CHRISTIAN ACADEMY INC.,JEFFERSON,k12
AUDUBON ELEMENTARY SCHOOL,BREVARD,k12
AUDUBON PARK SCHOOL,ORANGE,k12
AUTISM INSPIRED ACADEMY,PINELLAS,k12
AVALON ELEMENTARY SCHOOL,COLLIER,k12
AVALON ELEMENTARY SCHOOL,ORANGE,k12
