county,county_new,school,school_new
BROWARD,BROWARD,ANDREWS HIGH SCHOOL,ANDREWS HIGH SCHOOL
MIAMI-DADE,MIAMI-DADE,ANGELS REACH ACADEMY FOR DIVERGENT LEARNERS,ANGELS REACH ACADEMY FOR DIVERGENT LEARNERS
LEON,LEON,ANN'S PRESCHOOL AND KINDERGARTEN,ANN'S PRESCHOOL AND KINDERGARTEN
MANATEE,MANATEE,ANNA MARIA ELEMENTARY SCHOOL,ANNA MARIA ELEMENTARY SCHOOL
BROWARD,BROWARD,ANNABEL C. PERRY PK-8,ANNABEL C. PERRY PK-8
OKALOOSA,OKALOOSA,ANNETTE P. EDWINS ELEMENTARY SCHOOL,ANNETTE P. EDWINS ELEMENTARY SCHOOL
MANATEE,MANATEE,ANNIE LUCY WILLIAMS ELEMENTARY SCHOOL,ANNIE LUCY WILLIAMS ELEMENTARY SCHOOL
DUVAL,DUVAL,ANNIE R. MORGAN ELEMENTARY SCHOOL,ANNIE R. MORGAN ELEMENTARY SCHOOL
SEMINOLE,SEMINOLE,ANNUNCIATION CATHOLIC ACADEMY,ANNUNCIATION CATHOLIC ACADEMY
CLAY,CLAY,ANNUNCIATION CATHOLIC SCHOOL,ANNUNCIATION CATHOLIC SCHOOL
BROWARD,BROWARD,ANNUNCIATION SCHOOL,ANNUNCIATION SCHOOL
PINELLAS,PINELLAS,ANONA ELEMENTARY SCHOOL,ANONA ELEMENTARY SCHOOL
MARION,MARION,ANTHONY ELEMENTARY SCHOOL,ANTHONY ELEMENTARY SCHOOL
OKALOOSA,OKALOOSA,ANTIOCH ELEMENTARY SCHOOL,ANTIOCH ELEMENTARY SCHOOL
UNKNOWN,LEON,APALACHEE,APALACHEE ELEMENTARY SCHOOL
LEON,LEON,APALACHEE ELEMENTARY SCHOOL,APALACHEE ELEMENTARY SCHOOL
FRANKLIN,FRANKLIN,APALACHICOLA BAY CHARTER SCHOOL,APALACHICOLA BAY CHARTER SCHOOL
HILLSBOROUGH,HILLSBOROUGH,APOLLO BEACH ELEMENTARY SCHOOL,APOLLO BEACH ELEMENTARY SCHOOL
BREVARD,BREVARD,APOLLO ELEMENTARY SCHOOL,APOLLO ELEMENTARY SCHOOL
BROWARD,BROWARD,APOLLO MIDDLE SCHOOL,APOLLO MIDDLE SCHOOL
ORANGE,ORANGE,APOPKA ELEMENTARY,APOPKA ELEMENTARY SCHOOL
ORANGE,ORANGE,APOPKA HIGH,APOPKA HIGH
ORANGE,ORANGE,APOPKA MIDDLE,APOPKA MIDDLE
MIAMI-DADE,MIAMI-DADE,APPLE LEARNING CENTER,APPLE LEARNING CENTER
MARTIN,MARTIN,APPLE TREE ACADEMY PALM CITY,APPLE TREE ACADEMY PALM CITY
BROWARD,BROWARD,APPLE TREE MONTESSORI SCHOOL INC.,APPLE TREE MONTESSORI SCHOOL INC.
ORANGE,ORANGE,ARBOR RIDGE K-8,ARBOR RIDGE K-8
SEMINOLE,SEMINOLE,ARBOR SCHOOL OF CENTRAL FLORIDA,ARBOR SCHOOL OF CENTRAL FLORIDA
BROWARD,BROWARD,ARC BROWARD INC.,ARC BROWARD INC.
BROWARD,BROWARD,"ARC BROWARD, INC.",ARC BROWARD INC.
MIAMI-DADE,MIAMI-DADE,ARCADIA ACADEMY,ARCADIA ACADEMY
MIAMI-DADE,MIAMI-DADE,ARCHBISHOP COLEMAN F. CARROLL HIGH,ARCHBISHOP COLEMAN F. CARROLL HIGH
BROWARD,BROWARD,ARCHBISHOP EDWARD A. MCCARTHY HIGH SCHOOL,ARCHBISHOP EDWARD A. MCCARTHY HIGH SCHOOL
MIAMI-DADE,MIAMI-DADE,ARCHCREEK ELEMENTARY SCHOOL,ARCHCREEK ELEMENTARY SCHOOL
ALACHUA,ALACHUA,ARCHER ELEMENTARY,ARCHER ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,ARCHIMEDEAN ACADEMY,ARCHIMEDEAN ACADEMY
UNKNOWN,MIAMI-DADE,ARCHIMEDEAN ACADEMY,ARCHIMEDEAN ACADEMY
UNKNOWN,MIAMI-DADE,ARCHIMEDEAN SCHOOL,ARCHIMEDEAN ACADEMY
MIAMI-DADE,MIAMI-DADE,ARCHIMEDEAN MIDDLE CONSERVATORY,ARCHIMEDEAN MIDDLE CONSERVATORY
MIAMI-DADE,MIAMI-DADE,ARCHIMEDEAN UPPER CONSERVATORY,ARCHIMEDEAN UPPER CONSERVATORY
MIAMI-DADE,MIAMI-DADE,ARCOLA LAKE ELEMENTARY SCHOOL,ARCOLA LAKE ELEMENTARY SCHOOL
CLAY,CLAY,ARGYLE ELEMENTARY SCHOOL,ARGYLE ELEMENTARY SCHOOL
ST. JOHNS,ST. JOHNS,ARK CHRISTIAN ACADEMY,ARK CHRISTIAN ACADEMY
DUVAL,DUVAL,ARLINGTON ELEMENTARY SCHOOL,ARLINGTON ELEMENTARY SCHOOL
DUVAL,DUVAL,ARLINGTON HEIGHTS ELEMENTARY SCHOOL,ARLINGTON HEIGHTS ELEMENTARY SCHOOL
