county,county_new,school,school_new
HILLSBOROUGH,HILLSBOROUGH,ROBINSON HIGH SCHOOL,ROBINSON HIGH SCHOOL
ORANGE,ORANGE,ROBINSWOOD MIDDLE,ROBINSWOOD MIDDLE
HILLSBOROUGH,HILLSBOROUGH,ROBLES ELEMENTARY SCHOOL,ROBLES ELEMENTARY SCHOOL
POLK,POLK,ROCHELLE SCHOOL OF THE ARTS,ROCHELLE SCHOOL OF THE ARTS
CITRUS,CITRUS,ROCK CRUSHER ELEMENTARY SCHOOL,ROCK CRUSHER ELEMENTARY SCHOOL
BROWARD,BROWARD,ROCK ISLAND ADMINISTRATIVE CENTER,ROCK ISLAND ADMINISTRATIVE CENTER
BROWARD,BROWARD,ROCK ISLAND ELEMENTARY SCHOOL,ROCK ISLAND ELEMENTARY SCHOOL
ORANGE,ORANGE,ROCK LAKE ELEMENTARY,ROCK LAKE ELEMENTARY SCHOOL
SEMINOLE,SEMINOLE,ROCK LAKE MIDDLE SCHOOL,ROCK LAKE MIDDLE SCHOOL
OKEECHOBEE,OKEECHOBEE,ROCK SOLID CHRISTIAN ACADEMY,ROCK SOLID CHRISTIAN ACADEMY
ORANGE,ORANGE,ROCK SPRINGS ELEMENTARY,ROCK SPRINGS ELEMENTARY SCHOOL
BREVARD,BREVARD,ROCKLEDGE SENIOR HIGH SCHOOL,ROCKLEDGE SENIOR HIGH SCHOOL
MIAMI-DADE,MIAMI-DADE,ROCKWAY ELEMENTARY SCHOOL,ROCKWAY ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,ROCKWAY MIDDLE SCHOOL,ROCKWAY MIDDLE SCHOOL
OKALOOSA,OKALOOSA,ROCKY BAYOU CHRISTIAN SCHOOL CRESTVIEW,ROCKY BAYOU CHRISTIAN SCHOOL CRESTVIEW
OKALOOSA,OKALOOSA,ROCKY BAYOU CHRISTIAN SCHOOL NFCEA,ROCKY BAYOU CHRISTIAN SCHOOL NFCEA
HILLSBOROUGH,HILLSBOROUGH,RODGERS MIDDLE MAGNET SCHOOL,RODGERS MIDDLE MAGNET SCHOOL
PASCO,PASCO,RODNEY B. COX ELEMENTARY SCHOOL,RODNEY B. COX ELEMENTARY SCHOOL
BROWARD,BROWARD,ROHR BAIS CHAYA ACADEMY,ROHR BAIS CHAYA ACADEMY
MIAMI-DADE,MIAMI-DADE,ROHR MIDDLE SCHOOL,ROHR MIDDLE SCHOOL
HILLSBOROUGH,HILLSBOROUGH,ROLAND PARK K-8 MAGNET SCHOOL,ROLAND PARK K-8 MAGNET SCHOOL
PALM BEACH,PALM BEACH,ROLLING GREEN ELEMENTARY SCHOOL,ROLLING GREEN ELEMENTARY SCHOOL
ORANGE,ORANGE,ROLLING HILLS ELEMENTARY,ROLLING HILLS ELEMENTARY SCHOOL
ORANGE,ORANGE,ROLLINS COLLEGE,ROLLINS COLLEGE
MARION,MARION,ROMEO ELEMENTARY SCHOOL,ROMEO ELEMENTARY SCHOOL
BREVARD,BREVARD,RONALD MCNAIR MAGNET MIDDLE SCHOOL,RONALD MCNAIR MAGNET MIDDLE SCHOOL
BREVARD,BREVARD,RONALD MCNAIR MIDDLE SCHOOL,RONALD MCNAIR MIDDLE SCHOOL
MIAMI-DADE,MIAMI-DADE,RONALD W. REAGAN/DORAL SENIOR HIGH SCHOOL,RONALD W. REAGAN/DORAL SENIOR HIGH SCHOOL
MIAMI-DADE,MIAMI-DADE,RONALD W. REAGAN/DORAL SENIOR HIGH SCHOOL (DORAL),RONALD W. REAGAN/DORAL SENIOR HIGH SCHOOL
POLK,POLK,ROOSEVELT ACADEMY,ROOSEVELT ACADEMY
HILLSBOROUGH,HILLSBOROUGH,ROOSEVELT ELEMENTARY SCHOOL,ROOSEVELT ELEMENTARY SCHOOL
PALM BEACH,PALM BEACH,ROOSEVELT ELEMENTARY SCHOOL,ROOSEVELT ELEMENTARY SCHOOL
PALM BEACH,PALM BEACH,ROOSEVELT MIDDLE SCHOOL,ROOSEVELT MIDDLE SCHOOL
POLK,POLK,ROSABELLE W. BLAKE ACADEMY,ROSABELLE W. BLAKE ACADEMY
PALM BEACH,PALM BEACH,ROSARIAN ACADEMY,ROSARIAN ACADEMY
MIAMI-DADE,MIAMI-DADE,ROSEMONT ACADEMY,ROSEMONT ACADEMY
ORANGE,ORANGE,ROSEMONT ELEMENTARY,ROSEMONT ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,ROSENSTIEL SCHOOL OF MARINE AND ATMOSPHERIC SCIEN,ROSENSTIEL SCHOOL OF MARINE AND ATMOSPHERIC SCIENCE
MIAMI-DADE,MIAMI-DADE,ROSENSTIEL SCHOOL OF MARINE AND ATMOSPHERIC SCIENCE,ROSENSTIEL SCHOOL OF MARINE AND ATMOSPHERIC SCIENCE
PALM BEACH,PALM BEACH,ROSENWALD ELEMENTARY SCHOOL,ROSENWALD ELEMENTARY SCHOOL
BAY,BAY,ROSENWALD HIGH SCHOOL,ROSENWALD HIGH SCHOOL
INDIAN RIVER,INDIAN RIVER,ROSEWOOD MAGNET SCHOOL,ROSEWOOD MAGNET SCHOOL
BROWARD,BROWARD,ROSS UNIVERSITY SCHOOL OF MEDICINE,ROSS UNIVERSITY SCHOOL OF MEDICINE
WASHINGTON,WASHINGTON,ROULHAC MIDDLE SCHOOL,ROULHAC MIDDLE SCHOOL
LAKE,LAKE,ROUND LAKE ELEMENTARY SCHOOL,ROUND LAKE ELEMENTARY SCHOOL
MANATEE,MANATEE,ROWLETT MIDDLE ACADEMY,ROWLETT MIDDLE ACADEMY
BREVARD,BREVARD,ROY ALLEN ELEMENTARY SCHOOL,ROY ALLEN ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,ROYAL GREEN ELEMENTARY SCHOOL,ROYAL GREEN ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,ROYAL KIDS ACADEMY,ROYAL KIDS ACADEMY
COLLIER,COLLIER,ROYAL PALM ACADEMY,ROYAL PALM ACADEMY
PALM BEACH,PALM BEACH,ROYAL PALM BEACH COMMUNITY HIGH SCHOOL,ROYAL PALM BEACH COMMUNITY HIGH SCHOOL
PALM BEACH,PALM BEACH,ROYAL PALM BEACH ELEMENTARY SCHOOL,ROYAL PALM BEACH ELEMENTARY SCHOOL
PALM BEACH,PALM BEACH,ROYAL PALM BEACH HIGH ADULT,ROYAL PALM BEACH HIGH ADULT
PALM BEACH,PALM BEACH,ROYAL PALM BEACH HIGH SCHOOL,ROYAL PALM BEACH HIGH SCHOOL
BREVARD,BREVARD,ROYAL PALM CHARTER SCHOOL,ROYAL PALM CHARTER SCHOOL
BROWARD,BROWARD,ROYAL PALM ELEMENTARY SCHOOL,ROYAL PALM ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,ROYAL PALM ELEMENTARY SCHOOL,ROYAL PALM ELEMENTARY SCHOOL
PALM BEACH,PALM BEACH,ROYAL PALM ELEMENTARY,ROYAL PALM ELEMENTARY SCHOOL
LEE,LEE,ROYAL PALM EXCEPTIONAL CENTER,ROYAL PALM EXCEPTIONAL SCHOOL CENTER
LEE,LEE,ROYAL PALM EXCEPTIONAL SCHOOL CENTER,ROYAL PALM EXCEPTIONAL SCHOOL CENTER
UNKNOWN,PALM BEACH,ROYAL PALM MONTESSORI,ROYAL PALM MONTESSORI
PALM BEACH,PALM BEACH,ROYAL PALM SCHOOL,ROYAL PALM SCHOOL
MIAMI-DADE,MIAMI-DADE,RUBEN DARIO MIDDLE SCHOOL,RUBEN DARIO MIDDLE SCHOOL
OKALOOSA,OKALOOSA,RUCKLE MIDDLE SCHOOL,RUCKLE MIDDLE SCHOOL
LEON,LEON,RUEDIGER ELEMENTARY SCHOOL,RUEDIGER ELEMENTARY SCHOOL
DUVAL,DUVAL,RUFUS E. PAYNE ELEMENTARY SCHOOL,RUFUS E. PAYNE ELEMENTARY SCHOOL
HILLSBOROUGH,HILLSBOROUGH,RUSKIN ELEMENTARY SCHOOL,RUSKIN ELEMENTARY SCHOOL
PALM BEACH,PALM BEACH,RUTH AND EDWARD TAUBMAN EARLY CHILDHOOD CEN,RUTH AND EDWARD TAUBMAN EARLY CHILDHOOD CENTER
MIAMI-DADE,MIAMI-DADE,RUTH K. BROAD BAY HARBOR K-8 CENTER,RUTH K. BROAD BAY HARBOR K-8 CENTER
DUVAL,DUVAL,RUTH N. UPSON ELEMENTARY SCHOOL,RUTH N. UPSON ELEMENTARY SCHOOL
UNKNOWN,MIAMI-DADE,RUTH OWEN KRUSE EDUCATION CENTER,RUTH OWENS KRUSE EDUCATION CENTER
MIAMI-DADE,MIAMI-DADE,RUTH OWENS KRUSE EDUCATION CENTER,RUTH OWENS KRUSE EDUCATION CENTER
DIXIE,DIXIE,RUTH RAINS MIDDLE SCHOOL,RUTH RAINS MIDDLE SCHOOL
BAY,BAY,RUTHERFORD HIGH SCHOOL,RUTHERFORD HIGH SCHOOL
DUVAL,DUVAL,RUTLEDGE H. PEARSON ELEMENTARY SCHOOL,RUTLEDGE H. PEARSON ELEMENTARY SCHOOL
FLAGLER,FLAGLER,RYMFIRE ELEMENTARY SCHOOL,RYMFIRE ELEMENTARY SCHOOL
CLAY,CLAY,S BRYAN JENNINGS ELEMENTARY SCHOOL,S BRYAN JENNINGS ELEMENTARY SCHOOL
DUVAL,DUVAL,S. A. HULL ELEMENTARY SCHOOL,S. A. HULL ELEMENTARY SCHOOL
PALM BEACH,PALM BEACH,S. D. SPADY ELEMENTARY SCHOOL,S. D. SPADY ELEMENTARY SCHOOL
SANTA ROSA,SANTA ROSA,S. S. DIXON INTERMEDIATE SCHOOL,S. S. DIXON INTERMEDIATE SCHOOL
SANTA ROSA,SANTA ROSA,S. S. DIXON PRIMARY SCHOOL,S. S. DIXON PRIMARY SCHOOL
PALM BEACH,PALM BEACH,S.A.L.T ACADEMY,S.A.L.T ACADEMY
ESCAMBIA,ESCAMBIA,S.L. JONES CHRISTIAN ACADEMY,S.L. JONES CHRISTIAN ACADEMY
BROWARD,BROWARD,S.O.U.L. ACADEMY INC.,S.O.U.L. ACADEMY INC.
BREVARD,BREVARD,SABAL ELEMENTARY SCHOOL,SABAL ELEMENTARY SCHOOL
COLLIER,COLLIER,SABAL PALM ELEMENTARY SCHOOL,SABAL PALM ELEMENTARY SCHOOL
DUVAL,DUVAL,SABAL PALM ELEMENTARY SCHOOL,SABAL PALM ELEMENTARY SCHOOL
LEON,LEON,SABAL PALM ELEMENTARY SCHOOL,SABAL PALM ELEMENTARY SCHOOL
SEMINOLE,SEMINOLE,SABAL POINT ELEMENTARY SCHOOL,SABAL POINT ELEMENTARY SCHOOL
DUVAL,DUVAL,SACRED HEART,SACRED HEART
VOLUSIA,VOLUSIA,SACRED HEART,SACRED HEART
ESCAMBIA,ESCAMBIA,SACRED HEART CATHEDRAL SCHOOL,SACRED HEART CATHEDRAL SCHOOL
UNKNOWN,ESCAMBIA,ESCAMBIA - SACRED HEART CATHEDRAL SCHOOL,SACRED HEART CATHEDRAL SCHOOL
PINELLAS,PINELLAS,SACRED HEART CATHOLIC SCHOOL,SACRED HEART CATHOLIC SCHOOL
PALM BEACH,PALM BEACH,SACRED HEART SCHOOL,SACRED HEART SCHOOL
PASCO,PASCO,SADDLEBROOK PREPARATORY SCHOOL,SADDLEBROOK PREPARATORY SCHOOL
MARION,MARION,SADDLEWOOD ELEMENTARY SCHOOL,SADDLEWOOD ELEMENTARY SCHOOL
DUVAL,DUVAL,SADIE T. TILLIS ELEMENTARY SCHOOL,SADIE T. TILLIS ELEMENTARY SCHOOL
ORANGE,ORANGE,SADLER ELEMENTARY,SADLER ELEMENTARY SCHOOL
PINELLAS,PINELLAS,SAFETY HARBOR ELEMENTARY SCHOOL,SAFETY HARBOR ELEMENTARY SCHOOL
PINELLAS,PINELLAS,SAFETY HARBOR MIDDLE SCHOOL,SAFETY HARBOR MIDDLE SCHOOL
PINELLAS,PINELLAS,SAFETY HARBOR MONTESSORI ACADEMY,SAFETY HARBOR MONTESSORI ACADEMY
BROWARD,BROWARD,SAGEMONT GLOBAL EDUCATION - LOWER CAMPUS,SAGEMONT GLOBAL EDUCATION - LOWER CAMPUS
BROWARD,BROWARD,SAGEMONT GLOBAL EDUCATION - UPPER CAMPUS,SAGEMONT GLOBAL EDUCATION - UPPER CAMPUS
LEON,LEON,SAIL,SAIL
MIAMI-DADE,MIAMI-DADE,SAINTS PETER PAUL SCHOOL,SAINTS PETER PAUL SCHOOL
BROWARD,BROWARD,SALAH TAWFIK ELEMENTARY MIDDLE SCHOOL,SALAH TAWFIK ELEMENTARY SCHOOL MIDDLE SCHOOL
CHARLOTTE,CHARLOTTE,SALLIE JONES ELEMENTARY SCHOOL,SALLIE JONES ELEMENTARY SCHOOL
ORANGE,ORANGE,SALLY RIDE ELEMENTARY,SALLY RIDE ELEMENTARY SCHOOL
ORANGE,ORANGE,SALLY RIDE ELEMENTARY SCHOOL,SALLY RIDE ELEMENTARY SCHOOL
DUVAL,DUVAL,SALLYE B. MATHIS ELEMENTARY SCHOOL,SALLYE B. MATHIS ELEMENTARY SCHOOL
MANATEE,MANATEE,SAMOSET ELEMENTARY SCHOOL,SAMOSET ELEMENTARY SCHOOL
VOLUSIA,VOLUSIA,SAMSULA ACADEMY,SAMSULA ACADEMY
ST. LUCIE,ST. LUCIE,SAMUEL S. GAINES ACADEMY OF EMERGING TECHNOLOGIES,SAMUEL S. GAINES ACADEMY OF EMERGING TECHNOLOGIES
DUVAL,DUVAL,SAMUEL W. WOLFSON HIGH SCHOOL,SAMUEL W. WOLFSON HIGH SCHOOL
PASCO,PASCO,SAN ANTONIO ELEMENTARY SCHOOL,SAN ANTONIO ELEMENTARY SCHOOL
LEE,LEE,SAN CARLOS PARK ELEMENTARY SCHOOL,SAN CARLOS PARK ELEMENTARY SCHOOL
UNKNOWN,MIAMI-DADE,SAN CHRISTOPHER BY THE SEA,SAN CHRISTOPHER BY THE SEA
MIAMI-DADE,MIAMI-DADE,SAN IGNACIO COLLEGE,SAN IGNACIO COLLEGE
UNKNOWN,MIAMI-DADE,SAN IGNACIO COLLEGE,SAN IGNACIO COLLEGE
DUVAL,DUVAL,SAN JOSE CATHOLIC GRADE SCHOOL,SAN JOSE CATHOLIC GRADE SCHOOL
DUVAL,DUVAL,SAN JOSE ELEMENTARY SCHOOL,SAN JOSE ELEMENTARY SCHOOL
PINELLAS,PINELLAS,SAN JOSE ELEMENTARY SCHOOL,SAN JOSE ELEMENTARY SCHOOL
DUVAL,DUVAL,SAN JOSE EPISCOPAL DAY SCHOOL,SAN JOSE EPISCOPAL DAY SCHOOL
DUVAL,DUVAL,SAN JOSE PREP,SAN JOSE PREP
DUVAL,DUVAL,SAN JOSE PRIMARY SCHOOL,SAN JOSE PRIMARY SCHOOL
ST. JOHNS,ST. JOHNS,SAN JUAN DEL RIO CATHOLIC SCHOOL,SAN JUAN DEL RIO CATHOLIC SCHOOL
DUVAL,DUVAL,SAN MATEO ELEMENTARY SCHOOL,SAN MATEO ELEMENTARY SCHOOL
DUVAL,DUVAL,SAN PABLO ELEMENTARY SCHOOL,SAN PABLO ELEMENTARY SCHOOL
ORANGE,ORANGE,SAND LAKE ELEMENTARY,SAND LAKE ELEMENTARY SCHOOL
PASCO,PASCO,SAND PINE ELEMENTARY SCHOOL,SAND PINE ELEMENTARY SCHOOL
DUVAL,DUVAL,SANDALWOOD HIGH SCHOOL,SANDALWOOD HIGH SCHOOL
UNKNOWN,EAST COAST MIGRANT HEADSTART PROJECT - LA FAMILIA CEN,DUVAL - SANDALWOOD HIGH SCHOOL,SANDALWOOD HIGH SCHOOL
PASCO,PASCO,SANDERS MEMORIAL ELEMENTARY SCHOOL,SANDERS MEMORIAL ELEMENTARY SCHOOL
BROWARD,BROWARD,SANDERS PARK ELEMENTARY SCHOOL,SANDERS PARK ELEMENTARY SCHOOL
POLK,POLK,SANDHILL ELEMENTARY SCHOOL,SANDHILL ELEMENTARY SCHOOL
BROWARD,BROWARD,SANDPIPER ELEMENTARY SCHOOL,SANDPIPER ELEMENTARY SCHOOL
PALM BEACH,PALM BEACH,SANDPIPER SHORES ELEMENTARY SCHOOL,SANDPIPER SHORES ELEMENTARY SCHOOL
PINELLAS,PINELLAS,SANDY LANE ELEMENTARY SCHOOL,SANDY LANE ELEMENTARY SCHOOL
SEMINOLE,SEMINOLE,SANFORD MIDDLE SCHOOL,SANFORD MIDDLE SCHOOL
SEMINOLE,SEMINOLE,SANLANDO CHRISTIAN SCHOOL,SANLANDO CHRISTIAN SCHOOL
MIAMI-DADE,MIAMI-DADE,SANSON'S PRESCHOOL LEARNING CENTER,SANSON'S PRESCHOOL LEARNING CENTER
MIAMI-DADE,MIAMI-DADE,SANTA CLARA ELEMENTARY,SANTA CLARA ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,SANTA CLARA ELEMENTARY SCHOOL,SANTA CLARA ELEMENTARY SCHOOL
POLK,POLK,SANTA FE CATHOLIC HIGH SCHOOL,SANTA FE CATHOLIC HIGH SCHOOL
ALACHUA,ALACHUA,SANTA FE COLLEGE,SANTA FE COLLEGE
UNKNOWN,ALACHUA,SANTA FE COLLEGE,SANTA FE COLLEGE
ALACHUA,ALACHUA,SANTA FE COLLEGE HIGH SCHOOL DUAL ENROLLMENT,SANTA FE COLLEGE HIGH SCHOOL DUAL ENROLLMENT
ALACHUA,ALACHUA,SANTA FE HIGH SCHOOL,SANTA FE HIGH SCHOOL
SANTA ROSA,SANTA ROSA,SANTA ROSA ADULT SCHOOL,SANTA ROSA ADULT SCHOOL
SANTA ROSA,SANTA ROSA,SANTA ROSA CHRISTIAN SCHOOL,SANTA ROSA CHRISTIAN SCHOOL
SANTA ROSA,SANTA ROSA,SANTA ROSA DISTRICT OFFICE,SANTA ROSA DISTRICT OFFICE
PALM BEACH,PALM BEACH,SANTALUCES COMMUNITY HIGH,SANTALUCES COMMUNITY HIGH
PALM BEACH,PALM BEACH,SANTALUCES HIGH ADULT EDUCATION CENTER,SANTALUCES HIGH ADULT EDUCATION CENTER
SARASOTA,SARASOTA,SARASOTA ACADEMY OF THE ARTS,SARASOTA ACADEMY OF THE ARTS
SARASOTA,SARASOTA,SARASOTA CHRISTIAN SCHOOL,SARASOTA CHRISTIAN SCHOOL
SARASOTA,SARASOTA,SARASOTA DISTRICT OFFICE,SARASOTA DISTRICT OFFICE
SARASOTA,SARASOTA,SARASOTA HIGH SCHOOL,SARASOTA HIGH SCHOOL
SARASOTA,SARASOTA,SARASOTA MIDDLE SCHOOL,SARASOTA MIDDLE SCHOOL
SARASOTA,SARASOTA,SARASOTA MILITARY ACADEMY HIGH CAMPUS,SARASOTA MILITARY ACADEMY HIGH CAMPUS
SARASOTA,SARASOTA,SARASOTA MILITARY ACADEMY PREP CAMPUS,SARASOTA MILITARY ACADEMY PREP CAMPUS
SARASOTA,SARASOTA,SARASOTA SCHOOL OF ARTS/SCIENCES,SARASOTA SCHOOL OF ARTS/SCIENCES
SARASOTA,SARASOTA,SARASOTA SUNCOAST ACADEMY,SARASOTA SUNCOAST ACADEMY
BREVARD,BREVARD,SATELLITE SENIOR HIGH SCHOOL,SATELLITE SENIOR HIGH SCHOOL
BREVARD,BREVARD,SATURN ELEMENTARY SCHOOL,SATURN ELEMENTARY SCHOOL
ST. LUCIE,ST. LUCIE,SAVANNA RIDGE ELEMENTARY SCHOOL,SAVANNA RIDGE ELEMENTARY SCHOOL
BROWARD,BROWARD,SAWGRASS ADVENTIST SCHOOL,SAWGRASS ADVENTIST SCHOOL
LAKE,LAKE,SAWGRASS BAY ELEMENTARY SCHOOL,SAWGRASS BAY ELEMENTARY SCHOOL
BROWARD,BROWARD,SAWGRASS ELEMENTARY SCHOOL,SAWGRASS ELEMENTARY SCHOOL
PINELLAS,PINELLAS,SAWGRASS LAKE ELEMENTARY SCHOOL,SAWGRASS LAKE ELEMENTARY SCHOOL
BROWARD,BROWARD,SAWGRASS MIDDLE SCHOOL,SAWGRASS MIDDLE SCHOOL
BROWARD,BROWARD,SAWGRASS SPRINGS MIDDLE SCHOOL,SAWGRASS SPRINGS MIDDLE SCHOOL
ESCAMBIA,ESCAMBIA,SCENIC HEIGHTS ELEMENTARY SCHOOL,SCENIC HEIGHTS ELEMENTARY SCHOOL
UNKNOWN,MIAMI-DADE,SCHECK HILLEL COMMUNITY SCHOOL,SCHECK HILLEL COMMUNITY SCHOOL INC.
MIAMI-DADE,MIAMI-DADE,SCHECK HILLEL COMMUNITY SCHOOL INC.,SCHECK HILLEL COMMUNITY SCHOOL INC.
HILLSBOROUGH,HILLSBOROUGH,SCHMIDT ELEMENTARY SCHOOL,SCHMIDT ELEMENTARY SCHOOL
UNKNOWN,MANATEE,SCHOOL DISTRICT OF MANATEE COUNTY,SCHOOL DISTRICT OF MANATEE COUNTY
MIAMI-DADE,MIAMI-DADE,SCHOOL FOR ADVANCED STUDIES - SOUTH,SCHOOL FOR ADVANCED STUDIES - SOUTH
MIAMI-DADE,MIAMI-DADE,SCHOOL FOR ADVANCED STUDIES HOMESTEAD,SCHOOL FOR ADVANCED STUDIES HOMESTEAD
PINELLAS,PINELLAS,SCHOOL OF EMS,SCHOOL OF EMS
DUVAL,DUVAL,SCHOOL OF SUCCESS ACADEMY-SOS,SCHOOL OF SUCCESS ACADEMY-SOS
PUTNAM,PUTNAM,SCHOOL OF THE HEIGHTS,SCHOOL OF THE HEIGHTS
MIAMI-DADE,MIAMI-DADE,SCHOOLHOUSE ACADEMY,SCHOOLHOUSE ACADEMY
UNKNOWN,MIAMI-DADE,SCHOOLHOUSE ACADEMY,SCHOOLHOUSE ACADEMY
PASCO,PASCO,SCHRADER ELEMENTARY SCHOOL,SCHRADER ELEMENTARY SCHOOL
HILLSBOROUGH,HILLSBOROUGH,SCHWARZKOPF ELEMENTARY SCHOOL,SCHWARZKOPF ELEMENTARY SCHOOL
PASCO,PASCO,SCHWETTMAN EDUCATION CENTER,SCHWETTMAN EDUCATION CENTER
PALM BEACH,PALM BEACH,SCORE AT THE TOP BOCA RATON,SCORE AT THE TOP BOCA RATON
MIAMI-DADE,MIAMI-DADE,SCOTT LAKE ELEMENTARY SCHOOL,SCOTT LAKE ELEMENTARY SCHOOL
POLK,POLK,SCOTT LAKE ELEMENTARY SCHOOL,SCOTT LAKE ELEMENTARY SCHOOL
SEMINOLE,SEMINOLE,SCPS CONSEQUENCE UNIT,SCPS CONSEQUENCE UNIT
SEMINOLE,SEMINOLE,SCPS EARLY LEARNING CENTER,SCPS EARLY LEARNING CENTER
BREVARD,BREVARD,SCULPTOR CHARTER SCHOOL,SCULPTOR CHARTER SCHOOL
LEE,LEE,SDLC,SDLC TRANSPORTATION
LEE,LEE,SDLC TRANPORTATION,SDLC TRANSPORTATION
LEE,LEE,SDLC TRANSPORTATION,SDLC TRANSPORTATION
MANATEE,MANATEE,SEA BREEZE ELEMENTARY SCHOOL,SEA BREEZE ELEMENTARY SCHOOL
UNKNOWN,MANATEE,SEA BREEZE ELEMENTARY,SEA BREEZE ELEMENTARY SCHOOL
BROWARD,BROWARD,SEA CASTLE ELEMENTARY SCHOOL,SEA CASTLE ELEMENTARY SCHOOL
COLLIER,COLLIER,SEA GATE ELEMENTARY SCHOOL,SEA GATE ELEMENTARY SCHOOL
BREVARD,BREVARD,SEA PARK ELEMENTARY SCHOOL,SEA PARK ELEMENTARY SCHOOL
MARTIN,MARTIN,SEA WIND ELEMENTARY SCHOOL,SEA WIND ELEMENTARY SCHOOL
DUVAL,DUVAL,SEABREEZE ELEMENTARY SCHOOL,SEABREEZE ELEMENTARY SCHOOL
VOLUSIA,VOLUSIA,SEABREEZE HIGH SCHOOL,SEABREEZE HIGH SCHOOL
DUVAL,DUVAL,SEACOAST CHARTER ACADEMY,SEACOAST CHARTER ACADEMY
DUVAL,DUVAL,SEACOAST CHRISTIAN ACADEMY,SEACOAST CHRISTIAN ACADEMY
WALTON,WALTON,SEACOAST COLLEGIATE HIGH SCHOOL,SEACOAST COLLEGIATE HIGH SCHOOL
COLLIER,COLLIER,SEACREST COUNTRY DAY SCHOOL,SEACREST COUNTRY DAY SCHOOL
BROWARD,BROWARD,SEAGULL SCHOOL,SEAGULL SCHOOL
LEON,LEON,SEALEY ELEMENTARY SCHOOL,SEALEY ELEMENTARY SCHOOL
DUVAL,DUVAL,SEASIDE CHARTER K-8 SCHOOL,SEASIDE CHARTER K-8 SCHOOL
DUVAL,DUVAL,SEASIDE CHARTER NORTH CAMPUS,SEASIDE CHARTER NORTH CAMPUS
DUVAL,DUVAL,SEASIDE COMMUNITY CHARTER SCHOOL,SEASIDE COMMUNITY CHARTER SCHOOL
WALTON,WALTON,SEASIDE NEIGHBORHOOD SCHOOL,SEASIDE NEIGHBORHOOD SCHOOL
INDIAN RIVER,INDIAN RIVER,SEBASTIAN CHARTER JUNIOR HIGH SCHOOL,SEBASTIAN CHARTER JUNIOR HIGH SCHOOL
INDIAN RIVER,INDIAN RIVER,SEBASTIAN ELEMENTARY SCHOOL,SEBASTIAN ELEMENTARY SCHOOL
ST. JOHNS,ST. JOHNS,SEBASTIAN MIDDLE SCHOOL,SEBASTIAN MIDDLE SCHOOL
INDIAN RIVER,INDIAN RIVER,SEBASTIAN RIVER HIGH SCHOOL,SEBASTIAN RIVER HIGH SCHOOL
INDIAN RIVER,INDIAN RIVER,SEBASTIAN RIVER MIDDLE SCHOOL,SEBASTIAN RIVER MIDDLE SCHOOL
HIGHLANDS,HIGHLANDS,SEBRING HIGH SCHOOL,SEBRING HIGH SCHOOL
HIGHLANDS,HIGHLANDS,SEBRING MIDDLE SCHOOL,SEBRING MIDDLE SCHOOL
LEON,LEON,SECOND CHANCE AT GHAZVINI LEARNING CENTER,SECOND CHANCE AT GHAZVINI LEARNING CENTER
HILLSBOROUGH,HILLSBOROUGH,SEFFNER CHRISTIAN ACADEMY,SEFFNER CHRISTIAN ACADEMY
HILLSBOROUGH,HILLSBOROUGH,SEFFNER ELEMENTARY SCHOOL,SEFFNER ELEMENTARY SCHOOL
SEMINOLE,SEMINOLE,SEMINOLE DISTRICT OFFICE,SEMINOLE DISTRICT OFFICE
HILLSBOROUGH,HILLSBOROUGH,SEMINOLE ELEMENTARY SCHOOL,SEMINOLE ELEMENTARY SCHOOL
MIAMI-DADE,MIAMI-DADE,SEMINOLE ELEMENTARY SCHOOL,SEMINOLE ELEMENTARY SCHOOL
OKEECHOBEE,OKEECHOBEE,SEMINOLE ELEMENTARY SCHOOL,SEMINOLE ELEMENTARY SCHOOL
PINELLAS,PINELLAS,SEMINOLE ELEMENTARY SCHOOL,SEMINOLE ELEMENTARY SCHOOL
HILLSBOROUGH,HILLSBOROUGH,SEMINOLE HEIGHTS CHARTER HIGH SCHOOL,SEMINOLE HEIGHTS CHARTER HIGH SCHOOL
PINELLAS,PINELLAS,SEMINOLE HIGH SCHOOL,SEMINOLE HIGH SCHOOL
SEMINOLE,SEMINOLE,SEMINOLE HIGH SCHOOL,SEMINOLE HIGH SCHOOL
BROWARD,BROWARD,SEMINOLE MIDDLE SCHOOL,SEMINOLE MIDDLE SCHOOL
PINELLAS,PINELLAS,SEMINOLE MIDDLE SCHOOL,SEMINOLE MIDDLE SCHOOL
PALM BEACH,PALM BEACH,SEMINOLE RIDGE COMMUNITY HIGH ADULT,SEMINOLE RIDGE COMMUNITY HIGH SCHOOL
PALM BEACH,PALM BEACH,SEMINOLE RIDGE COMMUNITY HIGH SCHOOL,SEMINOLE RIDGE COMMUNITY HIGH SCHOOL
UNKNOWN,PALM BEACH,SEMINOLE RIDGE HIGH SCHOOL,SEMINOLE RIDGE COMMUNITY HIGH SCHOOL
